City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
66,tonj,7.2737,28.6822,25.220000000000027,69,65,0.61,SS,1722617486
67,jinghong,21.991,100.7341,21.75,97,92,0.8,CN,1722617487
68,isafjordur,66.0755,-23.124,10.020000000000039,76,75,5.66,IS,1722617488
69,margaret river,-33.95,115.0667,10.520000000000039,80,71,2.24,AU,1722617489
70,lebu,-37.6167,-73.65,11.450000000000045,91,66,6.01,CL,1722617490
71,akureyri,65.6835,-18.0878,11.960000000000036,71,100,4.12,IS,1722617492
72,vrangel',42.7297,133.0839,19.0,97,100,5.61,RU,1722617493
73,ujae,8.9322,165.7642,28.410000000000025,78,75,2.43,MH,1722617494
74,aswan,24.0934,32.907,38.610000000000014,47,36,6.17,EG,1722617495
75,port lincoln,-34.7333,135.8667,10.980000000000018,70,91,1.89,AU,1722617496
76,saint croix,17.7397,-64.7388,32.25,74,0,8.23,VI,1722617499
77,flying fish cove,-10.4217,105.6791,24.82000000000005,83,75,4.63,CX,1722617500
78,bridlington,54.0831,-0.1919,26.05000000000001,62,100,2.63,GB,1722617501
79,cheremushki,52.8356,91.3944,18.660000000000025,89,33,1.29,RU,1722617502
80,afaahiti,-17.75,-149.2833,18.930000000000007,66,60,5.9,PF,1722617503
81,labrador city,52.9463,-66.9114,27.879999999999995,38,40,3.6,CA,1722617505
82,borovskoy,53.8,64.15,17.450000000000045,77,19,3.22,KZ,1722617506
83,dunedin,-45.8742,170.5036,1.5600000000000023,92,11,0.89,NZ,1722617507
84,motueka,-41.1333,173.0167,3.390000000000043,87,10,2.22,NZ,1722617508
85,gewane,10.1664,40.6453,32.54000000000002,38,28,2.2,ET,1722617509
86,rio verde,21.9333,-99.9833,25.29000000000002,59,56,1.27,MX,1722617364
87,lompoc,34.6391,-120.4579,23.660000000000025,82,40,1.54,US,1722617512
88,iseo,45.6568,10.0528,31.379999999999995,66,0,1.48,IT,1722617323
89,papatowai,-46.5619,169.4708,3.670000000000016,91,13,2.14,NZ,1722617316
90,brandon,27.9378,-82.2859,33.94,69,40,2.06,US,1722617515
91,nieuw amsterdam,5.8833,-55.0833,33.01000000000005,55,40,2.57,SR,1722617516
92,fale old settlement,-9.3852,-171.2468,28.08000000000004,73,5,7.25,TK,1722617517
93,minas de marcona,-15.2119,-75.1103,16.53000000000003,56,22,5.31,PE,1722617519
94,port alfred,-33.5906,26.891,12.879999999999995,87,75,3.51,ZA,1722617288
95,san sebastian de la gomera,28.0916,-17.1133,28.54000000000002,65,0,3.09,ES,1722617521
96,juli,-16.2167,-69.45,13.390000000000043,17,0,4.47,PE,1722617522
97,iqaluit,63.7506,-68.5145,8.850000000000023,57,75,3.09,CA,1722617287
98,tauranga,-37.6861,176.1667,8.25,85,54,0.45,NZ,1722617524
99,codrington,-38.2667,141.9667,8.090000000000032,92,98,3.49,AU,1722617526
100,longyearbyen,78.2186,15.6401,14.910000000000025,67,0,2.57,SJ,1722617527
101,puerto leguizamo,-0.1934,-74.7819,32.99000000000001,45,65,0.33,CO,1722617528
102,bijar,35.8668,47.6051,23.100000000000023,41,1,8.78,IR,1722617529
103,albufeira,37.0882,-8.2503,35.910000000000025,35,0,7.98,PT,1722617530
104,zaozersk,69.4005,32.4476,11.300000000000011,82,6,6.15,RU,1722617471
105,lata,40.1629,-8.3327,22.82000000000005,39,0,5.72,PT,1722617533
106,sola,-13.8833,167.55,25.870000000000005,83,85,3.78,VU,1722617534
107,naze,28.3667,129.4833,26.510000000000048,86,4,2.29,JP,1722617535
108,bredasdorp,-34.5322,20.0403,9.29000000000002,88,45,2.13,ZA,1722617536
109,general acha,-37.377,-64.6043,21.939999999999998,31,69,9.39,AR,1722617538
110,novodvinsk,64.4165,40.8122,18.860000000000014,78,51,2.24,RU,1722617539
111,robbio,45.2906,8.5911,32.18000000000001,71,8,1.18,IT,1722617540
112,nanning,22.8167,108.3167,27.25,89,6,3.7,CN,1722617067
113,ifanadiana,-21.3,47.6333,16.58000000000004,91,58,0.27,MG,1722617542
114,eastham,41.8301,-69.9739,31.200000000000045,70,0,2.57,US,1722617544
115,wailua homesteads,22.0669,-159.378,23.439999999999998,84,20,3.09,US,1722617494
116,stanley,54.868,-1.6985,22.620000000000005,66,40,5.14,GB,1722617297
117,saipan,15.1355,145.701,28.390000000000043,89,75,5.14,MP,1722617548
118,nova sintra,14.8667,-24.7167,25.200000000000045,74,97,5.49,CV,1722617549
119,nassau,40.7507,-73.5829,33.910000000000025,69,0,4.12,US,1722617550
120,mermoz boabab,14.7065,-17.4758,30.310000000000002,62,75,4.12,SN,1722617552
121,muynoq,43.7683,59.0214,27.670000000000016,31,0,3.85,UZ,1722617553
122,tyrnyauz,43.3828,42.9183,15.75,95,93,0.74,RU,1722617554
123,placido de castro,-10.3353,-67.1856,37.28000000000003,23,0,2.24,BR,1722617555
124,anadyr,64.75,177.4833,7.28000000000003,100,75,3.0,RU,1722617280
125,bachhrawan,26.4833,81.1167,30.04000000000002,75,87,5.48,IN,1722617558
126,kapuskasing,49.4169,-82.4331,29.05000000000001,61,20,5.14,CA,1722617559
127,rawson,-43.3002,-65.1023,16.900000000000034,37,85,8.17,AR,1722617560
128,guerrero negro,27.9769,-114.0611,26.430000000000007,49,27,4.01,MX,1722617405
129,whitehorse,60.7161,-135.0538,11.720000000000027,68,75,5.14,CA,1722617286
130,inhambane,-23.865,35.3833,21.99000000000001,73,0,2.24,MZ,1722617563
131,pimentel,-6.8367,-79.9342,21.160000000000025,68,20,2.06,PE,1722617565
132,port mathurin,-19.6833,63.4167,22.450000000000045,72,5,6.26,MU,1722617566
133,tokmok,42.8417,75.3016,27.160000000000025,31,84,2.79,KG,1722617567
134,fortuna,40.5982,-124.1573,17.74000000000001,94,100,2.06,US,1722617397
135,antalaha,-14.9003,50.2788,20.78000000000003,71,0,4.18,MG,1722617569
136,uporovo,56.3109,66.2693,16.74000000000001,91,13,3.18,RU,1722617570
137,martapura,-3.4167,114.85,23.610000000000014,97,98,0.38,ID,1722617572
138,ramadi,33.4226,43.3058,37.14000000000004,12,0,4.93,IQ,1722617573
139,kas,36.2018,29.6377,29.350000000000023,56,0,3.7,TR,1722617575
140,maulavi bazar,24.4833,91.7833,24.610000000000014,96,100,2.5,BD,1722617576
141,kerikeri,-35.2268,173.9474,11.620000000000005,94,100,2.24,NZ,1722617577
142,payallar,36.6142,31.8564,28.420000000000016,68,0,1.55,TR,1722617579
143,vilyuchinsk,52.9306,158.4028,17.150000000000034,81,100,3.69,RU,1722617580
144,mount gambier,-37.8333,140.7667,6.480000000000018,94,73,1.4,AU,1722617581
145,inarajan village,13.2736,144.7484,26.08000000000004,94,100,5.34,GU,1722617582
146,yola,9.2,12.4833,28.689999999999998,67,97,1.86,NG,1722617583
147,santarem,-2.4431,-54.7083,31.07000000000005,62,20,5.66,BR,1722617469
148,ndago,-4.6,34.35,21.590000000000032,27,74,3.21,TZ,1722617586
149,vila velha,-20.3297,-40.2925,24.970000000000027,80,75,6.17,BR,1722617587
150,kosh-agach,50.0,88.6667,15.460000000000036,49,2,2.18,RU,1722617588
151,pak phanang,8.3511,100.202,27.350000000000023,81,100,1.03,TH,1722617589
152,mokhsogollokh,61.4681,128.9203,7.57000000000005,56,51,0.52,RU,1722617590
153,veraval,20.9,70.3667,27.370000000000005,88,100,9.99,IN,1722617592
154,boyolangu,-8.1181,111.8935,22.79000000000002,97,53,0.51,ID,1722617593
155,colonia,50.9333,6.95,26.700000000000045,59,0,2.06,DE,1722617594
156,udachny,66.4167,112.4,13.590000000000032,65,92,3.19,RU,1722617595
157,waddan,29.1614,16.139,35.370000000000005,16,0,4.65,LY,1722617596
158,cill airne,52.05,-9.5167,16.03000000000003,67,75,4.12,IE,1722617597
